Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,Gate length (ns),CZ error,RZZ error,MEASURE error,Operational
79,147.3009873,51.77897159,0.009033203,0.014160156,0.00390625,1560,0.000174217,24,0.000174217,0,0.000174217,0.000174217,93:68;73:68,93:0.005397331497411256;73:0.0023166504992846726,93:0.003945767647181103;73:0.0023517068575824307,0.009033203,Yes
80,162.7732035,145.5076275,0.005859375,0.010009766,0.001708984,1560,0.0001992,24,0.0001992,0,0.0001992,0.0001992,81:68,21:00.0,21:00.0,0.005859375,Yes
81,160.597706,21.76973371,0.018676758,0.022216797,0.015136719,1560,0.00015615,24,0.00015615,0,0.00015615,0.00015615,80:68;82:68;76:68,80:0.0016073295207179317;82:0.0022056615698919924;76:0.0016141905052604322,80:0.003077513980119989;82:0.006457855619045966;76:0.0016877229314595232,0.018676758,Yes
82,105.759169,34.15577243,0.004638672,0.008300781,0.000976563,1560,0.000317733,24,0.000317733,0,0.000317733,0.000317733,81:68;83:68,81:0.0022056615698919924;83:0.0024062438201797043,81:0.006457855619045966;83:0.00777300546739873,0.004638672,Yes
83,211.1838652,218.9723109,0.085571289,0.088867188,0.082275391,1560,0.000175018,24,0.000175018,0,0.000175018,0.000175018,96:68;82:68;84:68,96:0.002229054276869813;82:0.0024062438201797043;84:0.002626059815893589,96:0.002155389762533544;82:0.00777300546739873;84:0.0026526973797196263,0.085571289,Yes
84,120.0377707,90.2054661,0.00402832,0.007080078,0.000976563,1560,0.000245708,24,0.000245708,0,0.000245708,0.000245708,83:68;85:68,83:0.002626059815893589;85:0.0022435512144235448,83:0.0026526973797196263;85:0.002223493802373716,0.00402832,Yes
85,103.4671103,30.69247806,0.009155273,0.011962891,0.006347656,1560,0.000311909,24,0.000311909,0,0.000311909,0.000311909,77:68;86:68;84:68,77:0.003256027074343082;86:0.0030196020542561097;84:0.0022435512144235448,77:0.0034127957007173693;86:0.00237191474372786;84:0.002223493802373716,0.009155273,Yes
86,97.99858007,70.76489269,0.007202148,0.0078125,0.006591797,1560,0.000242561,24,0.000242561,0,0.000242561,0.000242561,85:68;87:68,85:0.0030196020542561097;87:0.002188156721051715,85:0.00237191474372786;87:0.0014679757456357578,0.007202148,Yes
87,141.2311405,212.573168,0.046508789,0.062011719,0.031005859,1560,0.000219792,24,0.000219792,0,0.000219792,0.000219792,86:68;88:68;97:68,86:0.002188156721051715;88:0.003237189486011288;97:0.002886973905675494,86:0.0014679757456357578;88:0.0025594991194229366;97:0.0026100533507181223,0.046508789,Yes
88,68.43950917,98.72488299,0.008178711,0.012695313,0.003662109,1560,0.000491703,24,0.000491703,0,0.000491703,0.000491703,87:68;89:68,87:0.003237189486011288;89:0.0033130995678863073,87:0.0025594991194229366;89:0.003124511981010686,0.008178711,Yes
